Run,ColdFuelCostUsd,HybridFuelCostUsd,ColdOutageCostUsd,HybridOutageCostUsd,MeanAnnualNetBenefitUsd,NPV,PI,IRR,SimplePaybackYears,DiscountedPaybackYears
108,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
109,131471.99999979802,58754.214744195764,0.0,42.24,7667.554525560225,21921.242050056473,2.4614161366704317,0.4973485798972582,2.004886346744744,2.6143850212779762
110,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
111,131471.99999979802,58761.47558836651,0.0,28.16,7668.236441143148,21924.419810436848,2.4616279873624567,0.4973632523283839,2.0050848019016634,2.6146927020516157
112,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
113,131471.99999979802,58755.18214152118,0.0,45.76,7667.105785827682,21919.09635811244,2.4612730905408298,0.4973254257100743,2.004912785645995,2.61442601160404
114,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
115,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
116,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
117,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
118,131471.99999979802,58752.12002111916,0.0,49.28,7667.059997867886,21918.907424921075,2.4612604949947383,0.49733048839135197,2.0048291004665506,2.6142962678314254
119,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
120,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
121,131471.99999979802,58752.18075300378,0.0,49.28,7667.053924679423,21918.877933141957,2.4612585288761304,0.497330063096629,2.004830760150984,2.614298840971869
122,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
123,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
124,131471.99999979802,58760.70109327638,0.0,38.72,7667.257890652162,21919.768156604256,2.461317877106951,0.4973195395001312,2.005063631367332,2.6146598796927387
125,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
126,131471.99999979802,58751.392356637625,0.0,63.36,7665.724764316039,21912.557112040795,2.4608371408027194,0.4972700552086998,2.0048092150205665,2.614265437846962
127,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
128,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
129,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
130,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
131,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
132,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
133,131471.99999979802,58695.260044080846,0.0,200.64000000000001,7657.609995571717,21874.454515742324,2.458296967716155,0.4970239744335163,2.003276416046384,2.6118890179971044
134,131471.99999979802,58750.04964803015,0.0,63.36,7665.859035176785,21913.209139652452,2.460880609310163,0.497279458957565,2.004772522812923,2.6142085510065822
135,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
136,131471.99999979802,58768.66181486378,0.0,10.56,7669.277818493423,21929.309723435636,2.461953981562376,0.4973948193637428,2.0052812557516635,2.6149972800403702
137,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
138,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
139,131471.99999979802,58756.556958509434,0.0,45.76,7666.968304128856,21918.428738472314,2.461228582564821,0.4973157983223295,2.0049503604814767,2.6144842668523784
140,131471.99999979802,58717.68380109275,0.0,140.8,7661.351619870526,21892.05600336828,2.4594704002245518,0.4971456228413684,2.0038884617574726,2.612837921017885
141,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
142,131471.99999979802,58743.54059282523,0.0,73.92,7665.453940697279,21911.342223710675,2.4607561482473788,0.4972758943501722,2.0045946685910025,2.613932809496787
143,131471.99999979802,58712.855306636986,0.0,176.0,7658.314469316103,21877.641572023607,2.4585094381349073,0.4970154663952263,2.003756639151137,2.612633545973517
144,131471.99999979802,58755.83008878745,0.0,42.24,7667.392991101055,21920.457628723165,2.4613638419148773,0.49733726849105464,2.0049304943840944,2.6144534668655877
145,131471.99999979802,58737.75442269831,0.0,91.52,7664.27255770997,21905.772434671577,2.460384828978105,0.49723449140069154,2.0044365927009093,2.613687731903881
146,131471.99999979802,58731.743273820306,0.0,102.08,7663.817672597768,21903.663732335222,2.460244248822348,0.4972274347726553,2.0042723965215634,2.6134331655410112
147,131471.99999979802,58756.024384123084,0.0,42.24,7667.373561567493,21920.36327770542,2.4613575518470276,0.49733590794174987,2.0049358046375017,2.6144616997727184
148,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
149,131471.99999979802,58753.540350375515,0.0,45.76,7667.269964942248,21919.89362205608,2.461326241470405,0.49733692260758744,2.0048679160156637,2.6143564466565348
150,131471.99999979802,58751.017126599865,0.0,56.32,7666.466287319815,21916.091161698463,2.4610727441132307,0.4973054491292238,2.0047989609732806,2.614249540183979
151,131471.99999979802,58706.71186294311,0.0,168.96,7659.632813685489,21883.976701940086,2.4589317801293387,0.49709133002374495,2.00358894187608,2.6123735515842164
152,131471.99999979802,58764.13920903345,0.0,21.12,7668.674079076455,21926.478175380693,2.461765211692046,0.4973773564620515,2.0051576143450873,2.6148055889590207
153,131471.99999979802,58751.70795660243,0.0,56.32,7666.397204319556,21915.755690372716,2.461050379358181,0.4973006111121798,2.0048178396153378,2.6142788092404428
154,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
155,131471.99999979802,58756.33236291786,0.0,45.76,7666.990763688014,21918.537803481915,2.461235853565461,0.49731737109195867,2.0049442220114146,2.614474749895263
156,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
157,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
158,131471.99999979802,58728.18052543476,0.0,123.2,7662.061947436325,21895.338318120444,2.4596892212080292,0.49715404627445914,2.004175091595919,2.613282305995379
159,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
160,131471.99999979802,58747.01448528277,0.0,66.88,7665.810551451524,21913.007115657114,2.4608671410438077,0.49728433238108827,2.0046895857807865,2.6140799671460897
161,131471.99999979802,58747.83582522934,0.0,70.4,7665.376417456867,21910.932350080402,2.4607288233386937,0.4972621954699069,2.0047120285542745,2.6141147619582616
162,131471.99999979802,58757.17622933898,0.0,38.72,7667.610377045903,21921.479852352488,2.4614319901568327,0.49734422171990766,2.0049672860967767,2.6145105079765227
163,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
164,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
165,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
166,131471.99999979802,58762.37527612513,0.0,28.16,7668.146472367288,21923.982916491863,2.4615988610994575,0.4973569529134393,2.005109395084536,2.6147308308140516
167,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
168,131471.99999979802,58715.47076128166,0.0,154.88,7660.164923851635,21886.426997943065,2.459095133196204,0.4970955419257229,2.003828041489355,2.6127442466829547
169,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
170,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
171,131471.99999979802,58748.20736045361,0.0,56.32,7666.74726393444,21917.455601532587,2.461163706768839,0.4973251264254627,2.004722180763045,2.6141305017329146
172,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
173,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
174,131471.99999979802,58749.98853412868,0.0,56.32,7666.569146566934,21916.59065256984,2.4611060435046563,0.49731265255483614,2.0047708527844255,2.6142059618289144
175,131471.99999979802,58742.1930890802,0.0,84.48,7664.53269107178,21906.96882642804,2.460464588428536,0.4972361746203304,2.0045578531224417,2.613875731555228
176,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
