Run,ColdFuelCostUsd,HybridFuelCostUsd,ColdOutageCostUsd,HybridOutageCostUsd,MeanAnnualNetBenefitUsd,NPV,PI,IRR,SimplePaybackYears,DiscountedPaybackYears
795,131471.99999979802,99769.98516645706,0.0,0.0,3570.201483334093,2197.2193890777057,1.1464812926051804,0.19814990856886533,4.207951360684259,7.622857882250257
796,131471.99999979802,99741.42159305947,0.0,98.56,3563.2018406738534,2147.897179610668,1.1431931453073778,0.19727091706835803,4.2314291311886345,7.669722892304299
797,131471.99999979802,99718.1899467515,0.0,161.92,3559.189005304649,2118.5461691704218,1.1412364112780282,0.19674632502006384,4.245942011960005,7.697906574165715
798,131471.99999979802,99769.98516645706,0.0,0.0,3570.201483334093,2197.2193890777057,1.1464812926051804,0.19814990856886533,4.207951360684259,7.622857882250257
799,131471.99999979802,99769.98516645706,0.0,0.0,3570.201483334093,2197.2193890777057,1.1464812926051804,0.19814990856886533,4.207951360684259,7.622857882250257
800,131471.99999979802,99769.98516645706,0.0,0.0,3570.201483334093,2197.2193890777057,1.1464812926051804,0.19814990856886533,4.207951360684259,7.622857882250257
801,131471.99999979802,99738.85203466169,0.0,80.96,3565.2187965136313,2160.4160828007357,1.1440277388533824,0.19749081090531856,4.226359099784568,7.658366829598717
802,131471.99999979802,99735.91348701456,0.0,91.52,3564.4566512783435,2155.07260814518,1.1436715072096786,0.19739566888977206,4.228886671451843,7.663431775494385
803,131471.99999979802,99708.50321226855,0.0,179.52,3558.397678752944,2111.9576989262077,1.1407971799284138,0.19662722743356437,4.249597428502762,7.704464221176474
804,131471.99999979802,99769.98516645706,0.0,0.0,3570.201483334093,2197.2193890777057,1.1464812926051804,0.19814990856886533,4.207951360684259,7.622857882250257
805,131471.99999979802,99734.37910224719,0.0,105.6,3563.2020897550815,2146.7945884190826,1.1431196392279388,0.19724925183214628,4.232529979535751,7.671114295991716
806,131471.99999979802,99769.98516645706,0.0,0.0,3570.201483334093,2197.2193890777057,1.1464812926051804,0.19814990856886533,4.207951360684259,7.622857882250257
807,131471.99999979802,99769.98516645706,0.0,0.0,3570.201483334093,2197.2193890777057,1.1464812926051804,0.19814990856886533,4.207951360684259,7.622857882250257
808,131471.99999979802,99769.98516645706,0.0,0.0,3570.201483334093,2197.2193890777057,1.1464812926051804,0.19814990856886533,4.207951360684259,7.622857882250257
809,131471.99999979802,99739.50175985208,0.0,95.04,3563.745823994592,2151.0812412626105,1.143405416084174,0.19732644119098075,4.230253607058735,7.666902722393791
810,131471.99999979802,99651.81781948538,0.0,323.84,3549.6342180312613,2046.9262543438074,1.1364617502895873,0.19546491063092794,4.282136412773056,7.7670179098071905
811,131471.99999979802,99726.22276390744,0.0,119.68,3562.6097235890547,2141.7207228376037,1.1427813815225067,0.19715723961339598,4.235411743768236,7.676210012425168
812,131471.99999979802,99737.07277332411,0.0,95.04,3563.988722647389,2152.256551111249,1.1434837700740832,0.1973463910607487,4.2299746806445855,7.665954626942242
813,131471.99999979802,99742.121740116,0.0,95.04,3563.4838259682,2149.813515578685,1.143320901038579,0.19730492214751022,4.230554506466224,7.6679255126518235
814,131471.99999979802,99666.81061164406,0.0,299.2,3550.598938815393,2055.457520920057,1.1370305013946704,0.19561957423251647,4.277203713647681,7.75843582983347
815,131471.99999979802,99769.98516645706,0.0,0.0,3570.201483334093,2197.2193890777057,1.1464812926051804,0.19814990856886533,4.207951360684259,7.622857882250257
816,131471.99999979802,99746.67633342577,0.0,70.4,3565.4923666372224,2163.395496832803,1.1442263664555203,0.19754583561200134,4.224391475773297,7.655206727934096
